0.105476D+00	0.114493D+00	0.120875D+00	0.124976D+00	
0.284095D-03	0.200140D-02	0.619996D-02	0.119787D-01	0.196864D-01
0.309756D-01	0.450066D-01	0.604314D-01	0.756270D-01	0.889426D-01
0.101082D+00	0.110007D+00	0.116798D+00	0.120821D+00	
0.188037D-03	0.602331D-03	0.177338D-02	0.395219D-02	0.798602D-02
0.148865D-01	0.250502D-01	0.371777D-01	0.504836D-01	0.634517D-01
0.756221D-01	0.859057D-01	0.940169D-01	0.998252D-01	
0.159753D-03	0.920880D-03	0.305168D-02	0.577860D-02	0.863707D-02
0.130722D-01	0.196502D-01	0.285046D-01	0.387902D-01	0.496496D-01
0.605796D-01	0.699377D-01	0.779761D-01	0.846582D-01	
0.136306D-03	0.491111D-03	0.141277D-02	0.272933D-02	0.459156D-02
0.770288D-02	0.124559D-01	0.191727D-01	0.274197D-01	0.367067D-01
0.463060D-01	0.553709D-01	0.633725D-01	0.700654D-01	
0.134636D-03	0.531179D-03	0.185341D-02	0.362121D-02	0.543480D-02
0.811314D-02	0.121406D-01	0.184526D-01	0.262982D-01	0.350774D-01
0.445242D-01	0.536592D-01	0.621677D-01	0.693994D-01	
0.120041D-03	0.302251D-03	0.925882D-03	0.199124D-02	0.339099D-02
0.529127D-02	0.815514D-02	0.123343D-01	0.178184D-01	0.245331D-01
0.318266D-01	0.393655D-01	0.464484D-01	0.531179D-01	
0.114827D-03	0.392144D-03	0.128633D-02	0.247011D-02	0.362436D-02
0.493726D-02	0.675423D-02	0.990585D-02	0.143935D-01	0.200218D-01
0.264707D-01	0.332588D-01	0.401163D-01	0.466876D-01	
0.141573D-03	0.441735D-03	0.971041D-03	0.154928D-02	0.214035D-02
0.291150D-02	0.429008D-02	0.656323D-02	0.998353D-02	0.144284D-01
0.198686D-01	0.256474D-01	0.313744D-01	0.372384D-01	
0.124736D-03	0.398899D-03	0.100830D-02	0.164229D-02	0.228958D-02
0.308949D-02	0.432682D-02	0.642894D-02	0.942766D-02	0.134955D-01
0.182751D-01	0.235844D-01	0.289846D-01	0.344261D-01	
0.184442D-03	0.508866D-03	0.948572D-03	0.146325D-02	0.213939D-02
0.299783D-02	0.430677D-02	0.617277D-02	0.873223D-02	0.121191D-01
0.160056D-01	0.203429D-01	0.249794D-01	0.295492D-01	
0.273392D-03	0.100649D-02	0.175414D-02	0.242576D-02	0.330695D-02
0.438000D-02	0.572327D-02	0.738444D-02	0.956396D-02	0.121670D-01
0.151894D-01	0.185616D-01	0.222404D-01	0.259650D-01	
0.402721D-03	0.103736D-02	0.160451D-02	0.248169D-02	0.395055D-02
0.591118D-02	0.816985D-02	0.105623D-01	0.131709D-01	0.157938D-01
0.186965D-01	0.217891D-01	0.250740D-01	0.281649D-01	
0.232914D-03	0.792437D-03	0.206446D-02	0.437254D-02	0.740692D-02
0.106091D-01	0.133517D-01	0.158635D-01	0.180308D-01	0.198108D-01
0.216361D-01	0.234844D-01	0.254342D-01	0.273992D-01	
0.100249D-02	0.287135D-02	0.605716D-02	0.106412D-01	0.155615D-01
0.201549D-01	0.233799D-01	0.261008D-01	0.279167D-01	0.292641D-01
0.303248D-01	0.311495D-01	0.320039D-01	0.327351D-01	
0.808140D-03	0.268888D-02	0.696337D-02	0.137464D-01	0.210115D-01
0.271036D-01	0.314454D-01	0.341547D-01	0.353318D-01	0.356580D-01
0.352817D-01	0.348359D-01	0.344747D-01	0.338809D-01	
0.905384D-03	0.481112D-02	0.142286D-01	0.259272D-01	0.359123D-01
0.431045D-01	0.472735D-01	0.489694D-01	0.489524D-01	0.479735D-01
0.462463D-01	0.442219D-01	0.419794D-01	0.397472D-01	
0.269672D-02	0.936644D-02	0.236617D-01	0.399337D-01	0.525167D-01
0.607453D-01	0.642840D-01	0.643923D-01	0.624596D-01	0.594606D-01
0.556610D-01	0.517197D-01	0.479559D-01	0.442814D-01	
0.576306D-02	0.253234D-01	0.505345D-01	0.716218D-01	0.830165D-01
0.870070D-01	0.858217D-01	0.828444D-01	0.774630D-01	0.712685D-01
0.650807D-01	0.591366D-01	0.535763D-01	0.485036D-01	
0.557283D-02	0.326782D-01	0.653962D-01	0.834571D-01	0.893905D-01
0.884943D-01	0.840071D-01	0.779839D-01	0.713582D-01	0.644853D-01
0.582769D-01	0.523360D-01	0.468733D-01	0.419625D-01	
0.269467D-01	0.829104D-01	0.114170D+00	0.120448D+00	0.114366D+00
0.103560D+00	0.912452D-01	0.797481D-01	0.698705D-01	0.616920D-01
0.546131D-01	0.486380D-01	0.431538D-01	0.383440D-01	
0.600147D-01	0.136688D+00	0.159824D+00	0.150649D+00	0.132772D+00
0.113366D+00	0.964985D-01	0.814011D-01	0.703008D-01	0.615070D-01
0.541533D-01	0.479199D-01	0.425547D-01	0.376793D-01	
0.117550D+00	0.168533D+00	0.157763D+00	0.135998D+00	0.113713D+00
0.953378D-01	0.809343D-01	0.701916D-01	0.614393D-01	0.540948D-01
0.477370D-01	0.425760D-01	0.379692D-01	0.338919D-01	
0.208824D+00	0.234877D+00	0.195890D+00	0.159843D+00	0.128933D+00
0.106351D+00	0.899242D-01	0.770942D-01	0.671896D-01	0.594237D-01
0.531415D-01	0.477863D-01	0.432610D-01	0.390446D-01	
0.389028D+00	0.339831D+00	0.252140D+00	0.186378D+00	0.142377D+00
0.111925D+00	0.920197D-01	0.780403D-01	0.664966D-01	0.580345D-01
0.510316D-01	0.455123D-01	0.407693D-01	0.365430D-01	
0.411563D+00	0.292911D+00	0.207604D+00	0.163061D+00	0.132965D+00
0.113715D+00	0.102147D+00	0.907532D-01	0.816087D-01	0.735675D-01
0.663717D-01	0.600518D-01	0.541910D-01	0.487097D-01	
0.408425D+00	0.265280D+00	0.201586D+00	0.170318D+00	0.149928D+00
0.135144D+00	0.121477D+00	0.109062D+00	0.969038D-01	0.863125D-01
0.765123D-01	0.675976D-01	0.596357D-01	0.526831D-01	
