 Table IV NASA Rotor 37 Blade Geometry
 Z and R are in centimeters

 SURFACE NUMBER     1 FROM THE HUB - hub/blade intersection.
    J      Z           R         THETA 1     THETA 2
   48   1.6686256  19.4260674   0.0025364  -0.0271252
   49   1.8365889  19.4600296   0.0116817  -0.0178845
   50   2.0218673  19.4947891   0.0210882  -0.0077295
   51   2.2078145  19.5258503   0.0298323   0.0020042
   52   2.3941898  19.5542316   0.0377309   0.0114315
   53   2.5638025  19.5788307   0.0445689   0.0198123
   54   2.7180283  19.6009655   0.0501403   0.0269858
   55   2.8582678  19.6208458   0.0548433   0.0333978
   56   2.9858229  19.6384773   0.0589091   0.0390869
   57   3.1018529  19.6539764   0.0624342   0.0440398
   58   3.2074106  19.6674786   0.0655063   0.0484460
   59   3.3034425  19.6792297   0.0681812   0.0524113
   60   3.3907895  19.6895142   0.0704938   0.0559720
   61   3.4702287  19.6985855   0.0724943   0.0591641
   62   3.5424683  19.7066288   0.0742379   0.0620229
   63   3.6081550  19.7138081   0.0757679   0.0645825
   64   3.6650076  19.7199268   0.0770514   0.0667654
   65   3.7161200  19.7253666   0.0781726   0.0687018
   66   3.7618582  19.7301998   0.0791492   0.0704128
   67   3.8028886  19.7345085   0.0800036   0.0719302
   68   3.8397965  19.7383728   0.0807542   0.0732816
   69   3.8730626  19.7418499   0.0814158   0.0744888
   70   3.9030807  19.7449760   0.0819998   0.0755696
   71   3.9301829  19.7478008   0.0825166   0.0765387
   72   3.9535203  19.7502346   0.0829532   0.0773681
   73   3.9746823  19.7524433   0.0833431   0.0781164
   74   3.9938519  19.7544460   0.0836910   0.0787912
   75   4.0112004  19.7562618   0.0840019   0.0793999
   76   4.0268841  19.7579021   0.0842796   0.0799478
   77   4.0410385  19.7593842   0.0845280   0.0804412
   78   4.0537944  19.7607212   0.0847497   0.0808845
   79   4.0652714  19.7619247   0.0849478   0.0812828
   80   4.0761380  19.7630653   0.0851339   0.0816589
   81   4.0858335  19.7640896   0.0852992   0.0819941
   82   4.0944695  19.7649956   0.0854455   0.0822920
   83   4.1021380  19.7658024   0.0855749   0.0825562
   84   4.1089268  19.7665272   0.0856892   0.0827901
   85   4.1149278  19.7671566   0.0857897   0.0829965
   86   4.1202078  19.7677155   0.0858781   0.0831781
   87   4.1248426  19.7682056   0.0859464   0.0833375
   88   4.1289034  19.7686329   0.0859669   0.0834768
   89   4.1324511  19.7690086   0.0859537   0.0835986
   90   4.1355429  19.7693367   0.0859177   0.0837047
   91   4.1382408  19.7696247   0.0858658   0.0837973
   92   4.1405883  19.7698727   0.0858025   0.0838779
   93   4.1426363  19.7700882   0.0857307   0.0839511
   94   4.1444197  19.7702808   0.0856523   0.0840295
   95   4.1459723  19.7704449   0.0855680   0.0841137
   96   4.1473227  19.7705879   0.0854780   0.0842039
   97   4.1485000  19.7707138   0.0853804   0.0843013
   98   4.1495228  19.7708206   0.0852717   0.0844101
   99   4.1504145  19.7709179   0.0851393   0.0845426
  100   4.1512079  19.7709999   0.0848409   0.0848409
 SURFACE NUMBER     4 FROM THE HUB.
    J      Z           R         THETA 1     THETA 2
    1   0.1464480  19.8141594  -0.1089887  -0.1089887
    2   0.1471794  19.8142262  -0.1086988  -0.1092786
    3   0.1480230  19.8143101  -0.1085679  -0.1094097
    4   0.1489933  19.8144035  -0.1084596  -0.1095179
    5   0.1501113  19.8145161  -0.1083606  -0.1096153
    6   0.1513966  19.8146381  -0.1082517  -0.1097055
    7   0.1528781  19.8147850  -0.1081265  -0.1097905
    8   0.1545802  19.8149529  -0.1079827  -0.1098706
    9   0.1565313  19.8151436  -0.1078175  -0.1099445
   10   0.1587748  19.8153629  -0.1076281  -0.1100113
   11   0.1613486  19.8156147  -0.1074106  -0.1100682
   12   0.1643037  19.8159084  -0.1071612  -0.1101115
   13   0.1676931  19.8162460  -0.1068751  -0.1101352
   14   0.1715757  19.8166332  -0.1065476  -0.1101305
   15   0.1760099  19.8170815  -0.1061736  -0.1100824
   16   0.1810663  19.8175907  -0.1057477  -0.1099636
   17   0.1868096  19.8181801  -0.1052643  -0.1097080
   18   0.1933145  19.8188400  -0.1047173  -0.1093474
   19   0.2006637  19.8196030  -0.1041004  -0.1089400
   20   0.2089355  19.8204727  -0.1034065  -0.1084811
   21   0.2182289  19.8214569  -0.1026287  -0.1079656
   22   0.2286399  19.8225765  -0.1017591  -0.1073879
   23   0.2402781  19.8238487  -0.1007892  -0.1067417
   24   0.2525564  19.8252144  -0.0997690  -0.1060598
   25   0.2661786  19.8267536  -0.0986408  -0.1053028
   26   0.2812640  19.8284893  -0.0973957  -0.1044638
   27   0.2979479  19.8304424  -0.0960244  -0.1035352
   28   0.3163798  19.8326492  -0.0945170  -0.1025085
   29   0.3367176  19.8351250  -0.0928629  -0.1013747
   30   0.3591440  19.8379154  -0.0910505  -0.1001233
   31   0.3851763  19.8412247  -0.0889609  -0.0986692
   32   0.4140010  19.8449688  -0.0866655  -0.0970578
   33   0.4459306  19.8492069  -0.0841419  -0.0952718
   34   0.4813443  19.8540115  -0.0813623  -0.0932911
   35   0.5207014  19.8594608  -0.0782925  -0.0910925
   36   0.5645590  19.8656464  -0.0748883  -0.0886476
   37   0.6135625  19.8726711  -0.0711065  -0.0859215
   38   0.6680600  19.8805847  -0.0669408  -0.0828919
   39   0.7310300  19.8897953  -0.0622051  -0.0793841
   40   0.8003004  19.8999310  -0.0571145  -0.0755087
   41   0.8765089  19.9110222  -0.0516438  -0.0712355
   42   0.9603469  19.9231796  -0.0457164  -0.0665615
   43   1.0525665  19.9365997  -0.0392703  -0.0614640
   44   1.1539781  19.9515591  -0.0323361  -0.0558242
   45   1.2654761  19.9684124  -0.0249593  -0.0495116
   46   1.3880101  19.9876518  -0.0170390  -0.0426008
   47   1.5226430  20.0097275  -0.0085032  -0.0351122
   48   1.6706672  20.0344219   0.0005422  -0.0268149
   49   1.8336070  20.0609474   0.0098997  -0.0176916
   50   2.0132189  20.0878010   0.0195223  -0.0077181
   51   2.1933067  20.1113453   0.0283307   0.0020935
   52   2.3736947  20.1324978   0.0363551   0.0115550
   53   2.5378046  20.1506634   0.0433213   0.0198411
   54   2.6870184  20.1669884   0.0491752   0.0271346
   55   2.8226869  20.1816292   0.0541994   0.0337108
   56   2.9460657  20.1945744   0.0585631   0.0395744
   57   3.0582747  20.2058849   0.0623524   0.0447369
   58   3.1603317  20.2156677   0.0656333   0.0493166
   59   3.2531526  20.2241154   0.0684801   0.0534088
   60   3.3375666  20.2314625   0.0709651   0.0570849
   61   3.4143279  20.2379093   0.0731490   0.0603965
   62   3.4841218  20.2436123   0.0750822   0.0633830
   63   3.5475821  20.2486858   0.0768021   0.0660772
   64   3.6025009  20.2530079   0.0782600   0.0683881
   65   3.6518734  20.2568474   0.0795436   0.0704449
   66   3.6960514  20.2602615   0.0806679   0.0722649
   67   3.7356813  20.2633076   0.0816562   0.0738803
   68   3.7713315  20.2660427   0.0825289   0.0753203
   69   3.8034611  20.2685070   0.0833019   0.0766081
   70   3.8324525  20.2707272   0.0839882   0.0777623
   71   3.8586278  20.2727356   0.0845989   0.0787987
   72   3.8811684  20.2744694   0.0851179   0.0796867
   73   3.9016042  20.2760468   0.0855833   0.0804885
   74   3.9201212  20.2774754   0.0860007   0.0812128
   75   3.9368751  20.2787724   0.0863751   0.0818662
   76   3.9520211  20.2799492   0.0867110   0.0824553
   77   3.9656906  20.2810078   0.0870121   0.0829858
   78   3.9780118  20.2819691   0.0872818   0.0834629
   79   3.9890976  20.2828350   0.0875232   0.0838915
   80   3.9995918  20.2836552   0.0877508   0.0842967
   81   4.0089602  20.2843914   0.0879531   0.0846579
   82   4.0172987  20.2850418   0.0881326   0.0849791
   83   4.0247064  20.2856274   0.0882915   0.0852640
   84   4.0312653  20.2861462   0.0884320   0.0855163
   85   4.0370588  20.2865982   0.0885559   0.0857389
   86   4.0421610  20.2870026   0.0886626   0.0859348
   87   4.0466375  20.2873592   0.0887176   0.0861067
   88   4.0505586  20.2876701   0.0887278   0.0862573
   89   4.0539846  20.2879372   0.0887085   0.0863886
   90   4.0569711  20.2881775   0.0886694   0.0865033
   91   4.0595737  20.2883854   0.0886162   0.0866032
   92   4.0618429  20.2885647   0.0885530   0.0866901
   93   4.0638199  20.2887211   0.0884823   0.0867661
   94   4.0655394  20.2888584   0.0884057   0.0868427
   95   4.0670390  20.2889767   0.0883240   0.0869247
   96   4.0683451  20.2890816   0.0882368   0.0870118
   97   4.0694814  20.2891712   0.0881426   0.0871058
   98   4.0704665  20.2892494   0.0880379   0.0872105
   99   4.0713305  20.2893200   0.0879107   0.0873379
  100   4.0720949  20.2893791   0.0876243   0.0876243
 SURFACE NUMBER     5 FROM THE HUB.
    J      Z           R         THETA 1     THETA 2
    1   0.1942081  20.4883156  -0.1077232  -0.1077232
    2   0.1949143  20.4883595  -0.1074638  -0.1079827
    3   0.1957248  20.4884109  -0.1073469  -0.1080997
    4   0.1966596  20.4884701  -0.1072505  -0.1081960
    5   0.1977399  20.4885406  -0.1071592  -0.1082822
    6   0.1989793  20.4886169  -0.1070547  -0.1083621
    7   0.2004048  20.4887123  -0.1069345  -0.1084367
    8   0.2020436  20.4888153  -0.1067965  -0.1085061
    9   0.2039263  20.4889355  -0.1066378  -0.1085695
   10   0.2060862  20.4890747  -0.1064559  -0.1086254
   11   0.2085664  20.4892387  -0.1062472  -0.1086712
   12   0.2114148  20.4894238  -0.1060077  -0.1087027
   13   0.2146804  20.4896355  -0.1057332  -0.1087140
   14   0.2184211  20.4898815  -0.1054188  -0.1086947
   15   0.2226986  20.4901695  -0.1050599  -0.1086282
   16   0.2275707  20.4904938  -0.1046510  -0.1084778
   17   0.2331064  20.4908695  -0.1041872  -0.1081817
   18   0.2393765  20.4912930  -0.1036624  -0.1078268
   19   0.2464606  20.4917831  -0.1030705  -0.1074259
   20   0.2544369  20.4923458  -0.1024051  -0.1069747
   21   0.2633969  20.4929848  -0.1016591  -0.1064682
   22   0.2734343  20.4937134  -0.1008252  -0.1059010
   23   0.2846553  20.4945431  -0.0998956  -0.1052673
   24   0.2964939  20.4954433  -0.0989179  -0.1045995
   25   0.3096282  20.4964619  -0.0978370  -0.1038591
   26   0.3241777  20.4976139  -0.0966447  -0.1030401
   27   0.3402696  20.4989185  -0.0953320  -0.1021353
   28   0.3580491  20.5004005  -0.0938899  -0.1011372
   29   0.3776717  20.5020714  -0.0923083  -0.1000376
   30   0.3993070  20.5039597  -0.0905765  -0.0988267
   31   0.4244292  20.5062180  -0.0885820  -0.0974229
   32   0.4522457  20.5087814  -0.0863933  -0.0958693
   33   0.4830659  20.5117073  -0.0839903  -0.0941463
   34   0.5172563  20.5150318  -0.0813482  -0.0922284
   35   0.5552542  20.5188198  -0.0784360  -0.0900826
   36   0.5976029  20.5231380  -0.0752151  -0.0876660
   37   0.6449285  20.5280609  -0.0716435  -0.0849376
   38   0.6975638  20.5336170  -0.0677058  -0.0818896
   39   0.7583866  20.5400944  -0.0632040  -0.0783878
   40   0.8252952  20.5472145  -0.0583134  -0.0745957
   41   0.8989052  20.5549889  -0.0530041  -0.0704841
   42   0.9798822  20.5635033  -0.0472382  -0.0659580
   43   1.0689555  20.5729065  -0.0409831  -0.0609215
   44   1.1669205  20.5834217  -0.0342329  -0.0553245
   45   1.2746440  20.5953388  -0.0269637  -0.0491383
   46   1.3930657  20.6090565  -0.0190158  -0.0423551
   47   1.5232327  20.6249390  -0.0103494  -0.0349417
   48   1.6663675  20.6427612  -0.0012410  -0.0267832
   49   1.8238941  20.6617928   0.0081112  -0.0177455
   50   1.9974247  20.6806622   0.0177617  -0.0077820
   51   2.1712599  20.6966038   0.0267924   0.0019951
   52   2.3452802  20.7104263   0.0351204   0.0114435
   53   2.5035551  20.7220612   0.0422115   0.0197993
   54   2.6474543  20.7324753   0.0482925   0.0272439
   55   2.7782855  20.7417812   0.0534846   0.0338658
   56   2.8972452  20.7499428   0.0579871   0.0397825
   57   3.0054176  20.7569790   0.0619408   0.0450703
   58   3.1037827  20.7629585   0.0654079   0.0497648
