Block 0
   0   3      -8.470329472543e-21
   0   4     7.81249999999996e-08
   1   0                        0
   1   1    -1.13961695019032e-18
   1   2     9.43286006789402e-19
   1   3    -3.71778371462055e-22
   2   0     0.000833333333333329
   2   1    -5.15598366470896e-20
   2   2     1.73611111111109e-07
   3   0     1.15709669854895e-17
   3   1    -3.35894795221804e-21
   4   0     1.24999999999999e-06
 39 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333334
   0   3     5.64688631502866e-21
   0   4               7.8125e-08
   1   0                        0
   1   1     8.38449680055447e-19
   1   2    -3.97420329669964e-19
   1   3     3.71953097188313e-22
   2   0      0.00083333333333334
   2   1     5.15598366470862e-20
   2   2     1.73611111111112e-07
   3   0    -4.74952831693481e-18
   3   1      3.3555907482245e-21
   4   0     1.25000000000002e-06
 40 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3      -8.470329472543e-21
   0   4     7.81249999999996e-08
   1   0                        0
   1   1    -1.13961695019032e-18
   1   2     3.89891147916593e-19
   1   3    -3.71045135112474e-22
   2   0     0.000833333333333329
   2   1    -5.15598366470896e-20
   2   2     1.73611111111109e-07
   3   0     4.70435322641461e-18
   3   1    -3.34612352104544e-21
   4   0     1.24999999999999e-06
 41 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333334
   0   3     5.64688631502866e-21
   0   4               7.8125e-08
   1   0                        0
   1   1     9.89033315122878e-19
   1   2     1.36440820061898e-18
   1   3     3.71935882779646e-22
   2   0      0.00083333333333334
   2   1     5.15598366470862e-20
   2   2     1.73611111111112e-07
   3   0     1.63472389560123e-17
   3   1     3.34764042421509e-21
   4   0     1.25000000000002e-06
 42 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333332
   0   3    -2.56933327333804e-19
   0   4     7.81249999999995e-08
   1   0                        0
   1   1    -1.50583635067431e-19
   1   2     7.34095220953726e-19
   1   3     3.34256255098994e-25
   2   0     0.000833333333333323
   2   1    -3.61400724161834e-19
   2   2     1.73611111111109e-07
   3   0      8.9446679230054e-18
   3   1     -7.8036044791276e-24
   4   0     1.24999999999998e-06
 43 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3      -8.470329472543e-21
   0   4     7.81249999999996e-08
   1   0                        0
   1   1    -1.13961695019032e-18
   1   2    -6.22783797911881e-19
   1   3    -3.71848240503954e-22
   2   0     0.000833333333333329
   2   1    -2.14431096336034e-20
   2   2     1.73611111111109e-07
   3   0    -7.40257103300685e-18
   3   1    -3.35656243005324e-21
   4   0     1.24999999999999e-06
 44 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3       8.470329472543e-21
   0   4     7.81249999999998e-08
   1   0                        0
   1   1    -1.50583635067431e-19
   1   2     4.14104996435435e-19
   1   3                        0
   2   0     0.000833333333333334
   2   1    -3.01167270134862e-20
   2   2     1.73611111111111e-07
   3   0     4.96925995722522e-18
   3   1                        0
   4   0     1.25000000000001e-06
 45 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333332
   0   3    -2.56933327333804e-19
   0   4     7.81249999999995e-08
   1   0                        0
   1   1    -1.50583635067431e-19
   1   2     9.26089355664701e-19
   1   3     8.56406027731719e-25
   2   0     0.000833333333333323
   2   1    -3.61400724161834e-19
   2   2     1.73611111111108e-07
   3   0     1.12034224490169e-17
   3   1     8.17063102861663e-25
   4   0     1.24999999999996e-06
 46 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333335
   0   3     2.31522338916175e-19
   0   4     7.81250000000005e-08
   1   0                        0
   1   1     1.82748299517836e-18
   1   2    -7.72253114079816e-19
   1   3     7.43908152966237e-22
   2   0     0.000833333333333357
   2   1     3.59111852908805e-19
   2   2     1.73611111111116e-07
   3   0    -9.36353136230888e-18
   3   1     6.70642706251165e-21
   4   0     1.25000000000006e-06
 47 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333332
   0   3    -2.56933327333804e-19
   0   4     7.81249999999995e-08
   1   0                        0
   1   1    -1.50583635067431e-19
   1   2     7.34095220953726e-19
   1   3    -4.53154503761647e-26
   2   0     0.000833333333333323
   2   1    -3.61400724161834e-19
   2   2     1.73611111111108e-07
   3   0      8.9446679230054e-18
   3   1    -3.90443719021742e-24
   4   0     1.24999999999996e-06
 48 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3     1.94817577868489e-19
   0   4     7.81249999999998e-08
   1   0                        0
   1   1    -1.67689936011099e-18
   1   2    -8.76637689908553e-19
   1   3    -7.43836271305448e-22
   2   0     0.000833333333333335
   2   1      1.6793086982719e-19
   2   2      1.7361111111111e-07
   3   0    -1.05135084665919e-17
   3   1     -6.7104375541287e-21
   4   0                 1.25e-06
 49 0 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333332
   0   3    -2.56933327333804e-19
   0   4     7.81249999999995e-08
   1   0                        0
   1   1    -1.50583635067431e-19
   1   2     5.45865677119438e-19
   1   3     1.34904510443181e-25
   2   0     0.000833333333333323
   2   1    -3.76459087668578e-19
   2   2     1.73611111111108e-07
   3   0     6.68591339699394e-18
   3   1    -2.07413212451516e-24
   4   0     1.24999999999996e-06
 0 1 4.999999999999998e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333334
   0   3      8.9243391322713e-20
   0   4     7.81250000000003e-08
   1   0                        0
   1   1     5.21621711873585e-19
   1   2     1.68051336735253e-20
   1   3      1.9787152962123e-22
   2   0     0.000833333333333336
   2   1     1.22876246215024e-19
   2   2     1.73611111111111e-07
   3   0     3.25983453193976e-19
   3   1     7.33913178726461e-22
   4   0                 1.25e-06
 1 1 5.000000000000008e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333334
   0   3                        0
   0   4     7.81250000000002e-08
   1   0                        0
   1   1     1.04806210006931e-19
   1   2      1.1444356265125e-21
   1   3     6.00959742474395e-23
   2   0     0.000833333333333335
   2   1     6.98708066712871e-21
   2   2     1.73611111111111e-07
   3   0    -1.11311423041845e-19
   3   1     4.32975643524161e-22
   4   0                 1.25e-06
 2 1 4.999999999999996e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333334
   0   3      3.3881317890172e-20
   0   4     7.81250000000003e-08
   1   0                        0
   1   1                        0
   1   2     1.88229543834289e-20
   1   3     2.67056019397668e-25
   2   0     0.000833333333333333
   2   1     3.01167270134863e-20
   2   2     1.73611111111111e-07
   3   0     2.25875452601147e-19
   3   1    -3.15331898104693e-24
   4   0     1.24999999999999e-06
 3 1 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3    -9.57711919028856e-21
   0   4     7.81250000000001e-08
   1   0                        0
   1   1    -1.16852900812326e-19
   1   2     1.01794537305583e-20
   1   3     8.44943000736383e-23
   2   0     0.000833333333333334
   2   1    -1.74677016678219e-20
   2   2     1.73611111111111e-07
   3   0     3.14418630020795e-20
   3   1     4.74855306398887e-23
   4   0                 1.25e-06
 4 1 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333334
   0   3    -6.75367603277423e-21
   0   4     7.81250000000001e-08
   1   0                        0
   1   1     1.61425656792286e-19
   1   2     1.07516715438145e-20
   1   3     1.04587272847505e-22
   2   0     0.000833333333333334
   2   1    -2.55389845074363e-20
   2   2     1.73611111111111e-07
   3   0     4.51750905202293e-20
   3   1     1.83586047139066e-22
   4   0                 1.25e-06
 5 1 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333334
   0   3    -6.75367603277423e-21
   0   4     7.81250000000001e-08
   1   0                        0
   1   1     1.61425656792286e-19
   1   2     1.07516715438145e-20
   1   3     1.04587272847505e-22
   2   0     0.000833333333333334
   2   1    -2.55389845074363e-20
   2   2     1.73611111111111e-07
   3   0     4.51750905202293e-20
   3   1     1.83586047139066e-22
   4   0                 1.25e-06
 6 1 5.000000000000004e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333334
   0   3    -1.24005623478029e-20
   0   4     7.81250000000001e-08
   1   0                        0
   1   1     4.39704214396899e-19
   1   2    -7.49906502635811e-21
   1   3     1.27158390166497e-22
   2   0     0.000833333333333334
   2   1    -1.85519038403075e-20
   2   2     1.73611111111111e-07
   3   0     5.89083180383792e-20
   3   1     3.93002306577195e-22
   4   0                 1.25e-06
 7 1 4.999999999999991e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333334
   0   3     3.49881076079177e-20
   0   4               7.8125e-08
   1   0                        0
   1   1    -1.08420217248543e-20
   1   2    -3.33392168039294e-20
   1   3    -1.04212316410439e-22
   2   0     0.000833333333333333
   2   1     4.05973480141796e-20
   2   2     1.73611111111111e-07
   3   0    -2.71050543121377e-19
   3   1    -1.86243962600183e-22
   4   0                 1.25e-06
 8 1 5.000000000000008e-03
    4
   0   0                        1
   0   1                        0
   0   2     0.000208333333333333
   0   3    -5.64688631502866e-21
