TITLE = "CFFC: 2D Structured Curvilinear Grid Block (Cell Locations)"
VARIABLES = "x" \ 
"y" 
ZONE T =  "Block Number = 0" \ 
I = 3 \ 
J = 10 \ 
F = POINT 
  4.44929645976658e+00 -1.55886506711998e+00
  4.44639432382198e+00 -1.56176720306227e+00
  4.48413562081169e+00 -1.58789995630361e+00
  4.48123348486710e+00 -1.59080209224589e+00
  4.47833134892251e+00 -1.59370422818818e+00
  4.51607264591222e+00 -1.61983698142952e+00
  4.51317050996762e+00 -1.62273911737180e+00
  4.51026837402303e+00 -1.62564125331409e+00
  4.54800967101274e+00 -1.65177400655543e+00
  4.54510753506815e+00 -1.65467614249771e+00
  4.54220539912355e+00 -1.65757827843999e+00
  4.57994669611326e+00 -1.68371103168134e+00
  4.57704456016867e+00 -1.68661316762362e+00
  4.57414242422408e+00 -1.68951530356590e+00
ZONE T =  "Block Number = 12" \ 
I = 3 \ 
J = 10 \ 
F = POINT 
  4.60632552830951e+00 -1.77671989479827e+00
  4.60608982604901e+00 -1.77695559705857e+00
  4.60585412378851e+00 -1.77719129931885e+00
  4.69377619850118e+00 -1.86417056505945e+00
  4.69354049624069e+00 -1.86440626731976e+00
  4.69330479398019e+00 -1.86464196958005e+00
  4.78122686869284e+00 -1.95162123532063e+00
  4.78099116643238e+00 -1.95185693758096e+00
  4.78075546417187e+00 -1.95209263984125e+00
  4.86867753888453e+00 -2.03907190558183e+00
  4.86844183662402e+00 -2.03930760784212e+00
  4.86820613436357e+00 -2.03954331010245e+00
  4.95612820907621e+00 -2.12652257584303e+00
  4.95589250681571e+00 -2.12675827810332e+00
  4.95565680455521e+00 -2.12699398036361e+00
  5.04357887926789e+00 -2.21397324610422e+00
  5.04334317700738e+00 -2.21420894836451e+00
  5.04310747474690e+00 -2.21444465062482e+00
  5.13102954945954e+00 -2.30142391636539e+00
  5.13079384719908e+00 -2.30165961862572e+00
  5.13055814493858e+00 -2.30189532088601e+00
  5.21848021965123e+00 -2.38887458662659e+00
  5.21824451739073e+00 -2.38911028888688e+00
  5.21800881513027e+00 -2.38934599114721e+00
  5.30593088984292e+00 -2.47632525688780e+00
  5.30569518758242e+00 -2.47656095914809e+00
  5.30545948532191e+00 -2.47679666140837e+00
  5.39338156003458e+00 -2.56377592714897e+00
  5.39314585777409e+00 -2.56401162940928e+00
  5.39291015551360e+00 -2.56424733166958e+00
ZONE T =  "Block Number = 13" \ 
I = 3 \ 
J = 10 \ 
F = POINT 
  4.60703263509097e+00 -1.77601278801736e+00
  4.60679693283048e+00 -1.77624849027766e+00
  4.60656123056998e+00 -1.77648419253795e+00
  4.69448330528264e+00 -1.86346345827854e+00
  4.69424760302216e+00 -1.86369916053885e+00
  4.69401190076167e+00 -1.86393486279915e+00
  4.78193397547431e+00 -1.95091412853972e+00
  4.78169827321384e+00 -1.95114983080005e+00
  4.78146257095334e+00 -1.95138553306034e+00
  4.86938464566601e+00 -2.03836479880095e+00
  4.86914894340549e+00 -2.03860050106121e+00
  4.86891324114503e+00 -2.03883620332155e+00
  4.95683531585767e+00 -2.12581546906212e+00
  4.95659961359719e+00 -2.12605117132243e+00
  4.95636391133668e+00 -2.12628687358271e+00
  5.04428598604935e+00 -2.21326613932331e+00
  5.04405028378886e+00 -2.21350184158361e+00
  5.04381458152837e+00 -2.21373754384391e+00
  5.13173665624101e+00 -2.30071680958448e+00
  5.13150095398055e+00 -2.30095251184481e+00
  5.13126525172004e+00 -2.30118821410510e+00
  5.21918732643271e+00 -2.38816747984570e+00
  5.21895162417220e+00 -2.38840318210598e+00
  5.21871592191173e+00 -2.38863888436631e+00
  5.30663799662437e+00 -2.47561815010688e+00
  5.30640229436388e+00 -2.47585385236717e+00
  5.30616659210338e+00 -2.47608955462747e+00
